GemName,carat,cut,clarity,depth,table,x,y,z,Lab_L,Lab_a,Lab_b,XYZ_X,XYZ_Y,XYZ_Z,Wavelength,Reflectance,Color
Diamond,2.45,Very Good,SI1,59.63,50.74,8.95,6.82,5.33,69.69,1.72,-2.21,0.208,0.134,0.283,600,0.38,FaintYellow
Emerald,3.47,Ideal,VVS2,56.45,59.87,8.56,6.61,3.22,67.13,3.89,-0.72,0.473,0.217,0.169,500,0.64,Blue
Diamond,4.58,Ideal,SI1,62.1,53.54,7.31,3.11,4.74,73.54,3.56,1.69,0.44,0.372,0.586,650,0.62,LightYellow
Sapphire,4.16,Ideal,SI1,58.7,53.54,4.25,3.02,2.46,70.56,4.86,0.27,0.455,0.412,0.542,550,0.65,Green
Sapphire,2.36,Good,SI2,60.42,60.66,9.33,7.78,6.35,76.96,2.16,4.12,0.145,0.527,0.545,450,0.49,Violet
Topaz,2.06,Ideal,VS1,61.05,,6.69,6.38,5.78,71.13,1.23,4.88,0.38,0.526,0.172,700,0.3,LightYellow
Ruby,1.35,Very Good,SI1,63.37,59.18,5.63,6.55,5.7,70.44,1.73,-4.38,0.438,0.523,0.343,550,0.4,Green
Diamond,1.99,Ideal,IF,55.82,56.11,9.49,7.55,5.49,63.97,2.68,-0.51,0.258,0.223,0.443,600,0.4,White
Emerald,0.73,Ideal,VS1,59.83,59.1,9.8,4.02,2,61.48,1.95,-1.23,0.445,0.371,0.122,500,0.41,Red
Ruby,4.86,Very Good,VS1,63.94,55.72,8.02,9.99,2.31,64.22,3.97,-4.48,0.301,0.408,0.111,450,0.4,LightYellow
Ruby,2.95,Premium,SI1,58.3,66.07,8.54,3.57,4.65,63.23,1.19,4.12,0.264,0.337,0.196,450,0.67,Red
Sapphire,0.81,Ideal,SI1,59.45,61.16,4.73,4.88,5.46,74.48,1.51,-3.44,0.495,0.113,0.284,600,0.66,Red
Topaz,1.89,Very Good,VVS1,55.85,53.23,4.81,7.86,5.4,65.11,2.23,-4.63,0.204,0.286,0.166,400,0.67,Red
Diamond,2.83,Fair,VS1,62.51,,6.98,6.61,4.38,73.52,3.24,-4.04,0.102,0.17,0.186,550,0.38,Violet
Topaz,2.76,Very Good,IF,55.85,50.35,9.88,3.68,4.34,71.63,2.17,-0.62,0.489,0.108,0.508,400,0.6,LightYellow
Ruby,0.37,,VS2,61.31,58.43,8.2,8.42,2.39,65.02,3.25,-0.89,0.557,0.157,0.499,700,0.56,Violet
Ruby,4.76,Fair,SI2,,56.28,8.22,9.79,6.18,72.24,2.25,4.05,0.3,0.481,0.488,450,0.56,Green
Amethyst,1.52,Premium,SI1,58.38,55.24,4.8,6.31,3.41,73.91,,-4.81,0.294,0.439,0.22,500,0.39,White
Emerald,0.28,Premium,VS1,60.86,62.46,5.94,4.77,2.94,60.37,3.97,4.25,0.587,0.362,0.209,700,0.5,Violet
Sapphire,0.57,Very Good,VS2,60.68,66.26,5.4,3.75,4.69,71.17,4.16,-0.96,0.198,0.516,0.544,400,0.59,FaintYellow
Diamond,2.98,Very Good,SI1,59.05,51.27,5.12,4.44,2.11,75.44,4.83,-2.8,0.479,0.305,0.534,400,0.49,Red
Sapphire,0.86,Ideal,VVS1,57.78,52.2,8.12,5.18,6.33,62.28,4.3,4.77,0.137,0.25,0.284,500,0.65,White
Amethyst,0.4,Ideal,SI2,60.08,57.37,3.7,4.32,3.65,67.84,4.32,4.14,0.584,0.305,0.389,,0.4,FaintYellow
Sapphire,2.02,Good,SI1,57.67,58.83,4.16,7.79,,65.91,2.52,1.29,0.46,0.171,0.458,550,0.46,White
Emerald,3.19,Ideal,IF,56.03,57.9,5.89,3.16,2.68,72.76,2.24,-4.1,0.175,0.425,0.567,450,0.62,White
Diamond,0.74,Very Good,VVS2,62.99,62.77,5.12,,4.29,75.23,1.89,2.72,,0.343,0.13,650,0.64,Blue
Diamond,1.7,Very Good,VVS2,62.02,51.74,9.32,5.62,3.75,79.29,2.77,-4.23,0.534,0.583,0.386,450,0.33,Violet
Topaz,2.21,Ideal,SI1,55.84,59.89,4.4,9.15,3.38,69.95,2.51,-2.4,,0.424,0.558,,0.33,Red
Topaz,0.97,Good,VVS1,56.63,66.23,4.74,,2.6,74.37,1.89,1.04,0.499,0.43,0.231,650,0.64,FaintYellow
Topaz,2.63,Very Good,IF,56,68.57,4.25,7.08,3.46,70.48,1.01,-4.65,0.58,0.438,0.138,600,0.46,FaintYellow
Ruby,0.61,Good,SI1,62.91,61.21,9.01,3.03,5.69,67.17,2.82,-2.02,0.562,0.163,0.162,550,0.37,FaintYellow
Emerald,0.42,Very Good,VS2,,52.77,4.41,9.42,5.58,64.09,4.92,-1.42,,0.555,0.148,500,,FaintYellow
Sapphire,2.7,Good,VVS1,59.08,64.55,5.46,7.46,4.58,77.76,3.92,-4.49,0.441,,0.137,400,0.33,Violet
Amethyst,1.39,Good,VS1,63.21,65.93,7.69,8.56,5.39,71.69,4.76,0.66,0.308,0.228,0.185,500,0.67,LightYellow
Ruby,0.66,Good,VS2,64.74,53.93,3.54,6.99,4.76,72.81,3,1.75,0.149,0.119,,650,0.4,Green
Emerald,2.23,Ideal,SI1,64.7,63.55,8.72,8.71,2.52,72.34,4.95,-4.06,0.238,0.46,0.113,,0.35,Violet
Sapphire,4.59,Premium,VS1,64.81,68.61,7.94,3.59,6.17,64.74,1.8,-1.25,0.337,0.416,0.26,600,0.32,White
Amethyst,3.68,Good,VS1,63.46,64.38,4.83,7.97,4.25,66.46,3.21,-1.81,0.435,0.284,0.34,500,0.33,FaintYellow
Ruby,4.11,Good,SI2,57.17,58.31,5.74,4.04,5.33,76.9,2.04,-0.09,0.218,0.273,0.191,400,0.6,
Topaz,4.39,Very Good,VS2,55.57,58.86,7.34,7.04,5.94,68.98,1.91,4.33,0.435,0.393,0.164,400,0.54,FaintYellow
Sapphire,4.87,Premium,SI2,,51.59,9.63,9.9,5.96,60.29,4.74,-0.11,0.597,0.14,0.129,700,0.32,Green
Ruby,3.86,Very Good,,58.09,60.52,,4.26,6.2,68.73,3.31,-4.97,0.356,0.576,0.599,600,0.55,Blue
Topaz,3.12,Very Good,SI2,58.38,66.05,4.77,4.79,4.91,64.65,1.33,-4.64,0.463,0.227,0.174,450,0.63,Violet
Topaz,1.95,Good,VVS2,55.73,69.57,6.38,4.48,4.85,77.24,2.47,-1.59,0.493,0.262,,550,0.31,
Ruby,1.07,Fair,SI2,62.15,57.99,6.15,5.89,3.08,70.24,,-3.95,0.217,0.275,0.434,450,0.35,Blue
Ruby,3.5,Premium,VS2,59.31,58.71,6.73,6.42,3.41,79.88,1.37,-2.02,0.129,0.514,0.402,400,0.55,Red
Amethyst,4.98,Very Good,VVS1,57.04,51.1,6.63,4.12,4.72,60.65,1.09,1.4,0.4,0.129,0.485,600,0.37,LightYellow
Sapphire,2.44,Fair,VVS2,61.52,65.5,5.55,3.19,3.13,71.04,4.38,-2.41,0.327,,0.281,600,0.33,LightYellow
Topaz,3.67,Fair,VVS1,64.8,64.33,9.1,5.39,3.61,61.05,3.73,-3.85,0.516,0.502,0.392,550,0.59,Violet
Sapphire,2.58,Very Good,IF,59.98,58.06,5.31,5.67,2.75,65.68,1.28,2.01,0.393,0.526,0.184,500,0.51,White
Amethyst,2.27,Good,VVS1,61.06,64.19,6.71,5.68,5.38,64.6,1.73,4.17,0.373,0.403,0.288,400,0.46,FaintYellow
Emerald,2.17,Ideal,VS2,56.63,62.46,4.83,7.65,4.84,65.64,1.28,4.11,0.233,0.281,0.587,400,0.43,Green
Diamond,2.62,,VVS1,56.61,65.38,6.04,6.14,5.26,79.62,1.28,1.53,0.418,0.426,0.414,650,0.55,Red
Diamond,1.96,Good,IF,59.58,56.28,7.77,3.76,4,65.57,4.6,-3.15,0.143,0.232,0.187,500,0.44,Green
Ruby,3.79,Premium,VS1,63.45,63.02,8.3,9.53,5.31,63.29,4.01,3.73,0.294,0.171,0.561,400,0.5,Green
Ruby,4.4,Good,VS2,64.09,62.51,8.64,7.9,4.1,79.03,3.05,2.62,0.577,0.214,0.311,450,0.37,LightYellow
Emerald,4.44,Fair,SI1,61.42,51.81,8.16,4.49,4.4,,2.28,3.39,0.13,0.459,0.28,450,0.66,FaintYellow
Sapphire,1.29,Premium,VVS2,58.61,55.62,6.27,9.55,2.57,65.73,3.45,-3.51,0.578,0.514,0.308,400,0.34,Green
Emerald,4.5,Premium,VVS2,62.5,67.2,3.26,9.94,2.16,73.18,2.14,-0.16,0.347,0.241,0.336,,0.32,FaintYellow
Amethyst,1.84,Ideal,VVS1,57.92,53.12,6.67,4.38,,75.77,1.57,0.33,,0.526,0.274,500,0.48,White
Amethyst,1.68,Ideal,VVS2,57.2,57.59,3.39,5.66,6.01,60.34,2.95,2.75,0.428,0.423,0.192,700,0.65,LightYellow
Topaz,3.69,Very Good,SI2,62.95,54.5,9.77,3.48,3.62,64.7,4.38,-1.74,0.136,0.276,0.173,,0.6,Red
Sapphire,1.66,Good,IF,62.51,52.8,5.65,6.38,5.81,71.42,,-1.53,0.519,0.589,0.365,550,0.32,White
Ruby,0.45,Very Good,SI1,63.82,52.73,6.53,8.51,3.24,70.22,4.14,3.86,0.482,0.173,0.217,400,0.66,Red
Diamond,1.99,Ideal,SI2,60.76,56.96,3.91,9.33,5.29,68.43,1.72,2.4,0.539,0.502,0.544,700,0.38,Red
Sapphire,3.66,Fair,VVS2,63.97,66.07,9.97,6.82,4.62,60.62,4.85,1.39,0.414,0.427,0.554,500,0.5,Green
Ruby,1.77,Ideal,SI2,55.26,69.33,6.45,5.28,2.15,79.02,1.3,-3.79,0.29,0.584,0.267,550,0.42,White
Ruby,3.22,Good,VVS1,57.54,61.44,5.09,7.02,3.09,74.3,3.04,-4.31,0.561,0.518,0.187,400,0.38,Violet
Sapphire,3.37,Fair,VVS2,63.04,62.7,4.35,3.81,4.83,79.91,2.49,1.46,0.585,0.328,0.488,450,0.55,Green
Diamond,3.72,Very Good,,59.24,65.57,7.55,8.85,2.93,77.5,3.37,0.13,0.467,0.515,0.15,600,0.57,Violet
Ruby,4.51,Very Good,VS1,57.39,63.24,6.05,6.64,4.65,71.47,4.76,4.85,0.19,0.1,0.544,550,0.52,Violet
Topaz,2.28,Ideal,VS1,62.96,66.97,5.22,9.88,5.18,67.05,1.44,3.52,0.237,0.125,0.294,700,0.36,Blue
Ruby,1,Ideal,VVS2,63.22,67.68,3.07,5.81,3.56,63.28,1.53,0.7,0.489,0.348,0.217,550,0.51,Green
Sapphire,1.73,Very Good,VS2,59.56,62.55,3.25,7.57,5.11,64.23,2.34,-3.81,0.206,0.432,0.527,450,0.51,FaintYellow
Emerald,2.27,Very Good,SI1,59.67,60.66,7.86,5.38,4.89,77.36,3.56,-4.02,0.233,0.127,0.422,650,0.47,White
Emerald,3.63,Premium,VVS2,62.81,57.82,6.36,4.03,6.44,77.22,1.59,-0.38,0.136,0.487,0.113,550,0.7,White
Emerald,0.26,Good,,62.71,59.23,8.94,8.28,4.77,77.21,1.52,-3.51,0.408,0.468,0.585,650,0.65,FaintYellow
Amethyst,1.72,Premium,VS1,63.67,56.91,8.27,7.71,3.24,77.21,4.17,1.85,0.301,0.157,0.59,700,0.63,Blue
Sapphire,3.94,Premium,IF,61.46,58.54,7.01,8.46,3.11,63.73,4.18,-4.53,0.213,0.333,0.522,450,0.46,Violet
Diamond,,Very Good,VVS1,56.86,67.99,6.93,9.86,4.97,77.07,3.72,4.94,0.365,0.302,0.516,650,0.56,Red
Diamond,3.71,Good,IF,60.5,69.45,8.22,9.95,2.47,62.51,2.64,4.46,0.372,0.349,0.156,550,0.66,FaintYellow
Emerald,4.1,Very Good,VS2,58.82,57.23,8.19,9.5,3.02,68.29,3.29,1.04,0.194,0.142,0.149,650,0.59,Violet
Topaz,3.96,Premium,VVS1,55.27,54.41,5.34,9.26,2.04,79.85,3.46,-3.02,0.113,0.22,0.13,600,0.45,FaintYellow
Emerald,3.47,Premium,VVS2,56.97,51.56,3.74,5.11,4.3,73.96,3.72,-2.18,0.538,0.599,0.26,500,0.49,Blue
Emerald,2.31,Very Good,VVS2,57.06,66.74,8.4,6.28,5.54,72.94,1.93,-2.06,0.179,0.41,0.207,600,0.69,Violet
Ruby,4.92,Ideal,VS2,55.82,67.41,4.56,3.33,4.3,64.54,3.06,-3.14,0.524,0.425,0.261,450,0.33,LightYellow
Topaz,,Ideal,SI1,59.53,,8.54,7.79,3.29,74.73,4.99,-3.9,0.335,0.396,0.429,400,0.38,White
Amethyst,1.17,Very Good,VS1,60.08,60.85,7.33,6.82,5.77,70.95,1.7,1.63,0.422,0.467,0.234,550,0.66,Violet
Diamond,1.61,Fair,SI1,58.4,64.8,5.51,7.95,4.18,69.63,1.31,2.48,0.312,0.49,0.343,650,0.34,White
Amethyst,3.53,Fair,VVS2,59.12,57.52,8.97,7.77,,64.68,1.28,-2.56,0.449,0.106,0.44,450,0.54,Violet
Diamond,4.64,Ideal,IF,60.49,54.03,7.84,4.9,6.44,62.5,3.67,2.58,0.235,0.31,0.177,700,0.55,Violet
Diamond,1.06,Good,VS1,56.2,52.29,6.82,6.23,5.66,64.57,4.26,-3.35,0.211,0.585,0.596,650,0.35,Blue
Emerald,0.6,Premium,VVS2,60.62,54.7,5.11,3.74,5.83,70.1,1.95,-2.67,0.312,0.427,0.534,,0.38,FaintYellow
Ruby,4.43,Good,VS1,62.1,62.91,9.9,3.59,2.54,79.29,1.14,2.84,0.328,0.545,0.468,500,0.38,LightYellow
Topaz,4.59,Ideal,SI1,63.75,56.95,8.87,6.22,,65.05,3.86,4.78,,0.29,0.594,500,0.63,Violet
Amethyst,1.53,Very Good,VVS1,58.02,67.35,3.96,6.89,6.49,73.55,3.99,2.78,0.538,0.156,0.142,700,0.57,Blue
Sapphire,2.01,Fair,VVS2,62.47,51.75,8.64,5.23,3.46,63.51,2.05,-3.03,0.271,0.185,0.126,550,0.54,Red
Diamond,3.37,Ideal,VVS2,61.06,58.33,3.84,3.43,2.19,68.15,,-2.02,0.532,0.27,0.228,500,0.7,Green
Diamond,1.78,Good,VS1,60.03,55.14,4.73,7.63,2.15,65.53,4.2,1.4,0.319,0.575,0.268,600,0.58,White
Sapphire,4.41,Good,VVS1,64.2,67.75,9.7,7.74,6.4,66.91,2.44,4.55,0.28,0.585,0.433,700,0.68,White
Amethyst,0.72,Ideal,IF,61.2,66.12,9.09,5.25,3.95,64.45,3.08,4.95,0.524,0.531,0.599,400,0.48,Red
Ruby,0.38,Premium,VVS1,58.66,69.69,7.24,3.01,3.28,79.46,4.6,0.88,0.211,0.38,0.554,550,0.62,White
Topaz,1.2,Good,IF,62.13,52.39,7.89,7.45,4.31,66.64,1.82,-0.64,0.138,0.381,0.425,400,0.41,Green
Diamond,1.57,Premium,SI2,64.6,65.64,3.63,3.49,4.75,77.45,1.52,-2.58,0.22,0.517,0.203,600,0.41,Red
Diamond,0.74,Premium,SI2,64.18,52.52,5.33,4.56,5.96,66.74,3.33,-4.24,0.108,0.128,0.378,,0.63,Blue
Sapphire,0.52,Very Good,VS2,64.8,53.1,5.26,4.73,3.99,70.25,3.66,-1.93,0.323,0.311,0.476,700,0.65,LightYellow
Diamond,3.83,Ideal,SI1,55.95,50.78,3.23,4.84,5.84,78.28,2.57,0.6,0.434,0.413,0.496,400,0.45,Green
Topaz,0.99,Ideal,VVS1,59.43,59.29,7.93,7.32,3.17,64.37,1.13,1.39,0.28,0.148,0.595,550,0.35,Violet
Emerald,,Premium,IF,59.33,52.52,5.15,3.55,4.47,69.22,1.36,-1.69,0.583,0.143,0.133,600,0.43,Blue
Emerald,1.97,Very Good,VS1,58.84,56.97,7.43,7.52,5.52,78.96,2.07,4.6,0.14,0.216,0.571,600,0.37,Blue
Diamond,3.42,Good,IF,56.78,55.52,3.19,6.39,3.99,77.03,1.88,-4.06,0.191,0.392,0.183,650,0.55,LightYellow
,1.28,Good,VS2,63.32,69.53,3.01,5.44,3.25,70.81,2.26,2.09,0.25,0.519,0.418,500,0.41,Blue
Topaz,1.35,Ideal,IF,61.73,63.17,4.19,7.23,5.64,64.82,3.15,-1.23,0.214,0.401,0.436,600,0.59,Blue
Topaz,2.96,Premium,SI1,61.06,58.21,7.92,9.11,5.63,70.92,1.22,2.8,0.217,0.432,0.236,500,0.32,Blue
Sapphire,2.89,Very Good,SI2,59.47,67.57,7.23,6.81,3.27,76.71,1.91,3.35,0.184,0.26,0.178,550,0.48,FaintYellow
Amethyst,3.89,Very Good,VVS1,58.89,51.28,4.41,4.09,4.72,73.62,4.2,2.25,0.373,0.303,0.256,550,0.34,White
Diamond,3.84,Good,IF,62.86,56.69,6.66,6.9,3.11,70.18,1.67,0.71,0.462,0.493,0.248,600,0.61,FaintYellow
Topaz,3.42,Good,VVS1,60.27,60.29,7.33,6.18,6.03,,2.2,-4.23,0.349,0.49,0.496,500,0.45,FaintYellow
Diamond,2.36,Fair,VS2,61.08,51.08,9.57,9.58,2.34,72.74,2.83,-3.59,0.391,0.595,0.205,700,0.62,FaintYellow
Amethyst,,Fair,IF,56,52.92,8.34,7.15,3.72,65.95,1.65,0.97,0.261,0.103,0.464,600,0.58,FaintYellow
,3.19,Premium,IF,59.71,67.9,3.95,3.25,4.93,60.25,4.04,4.64,0.257,0.455,0.175,450,0.65,Red
Diamond,4.95,Fair,VS2,56.3,53.59,4.89,3.85,5.87,67.59,1.11,0.3,0.532,0.586,0.301,550,0.67,Green
Diamond,4.13,Very Good,SI1,55.54,68.43,5.82,6.73,5.58,64.04,2.71,4,0.365,,0.185,500,0.34,White
Sapphire,0.41,Fair,IF,61.89,51.92,3.74,8.57,5.08,77.88,3.19,4.26,0.264,0.283,0.564,550,0.33,LightYellow
Topaz,1.74,Ideal,VVS1,57.75,67.76,6.89,3.67,6.17,62.42,1.5,-3.8,0.485,0.337,0.502,400,0.57,Green
Diamond,2.95,Ideal,SI1,64.65,,9.35,6.96,2.11,66.78,3.75,-0.44,0.351,0.338,0.109,700,0.35,White
Emerald,3.66,Good,VVS2,61.05,61.47,5.14,6.17,6.41,64.3,1.39,2.53,0.132,0.41,0.279,700,0.61,White
Ruby,2.84,Good,SI1,61.45,55.63,9.89,5.54,3.56,63.38,3.22,-0.91,0.247,0.295,0.274,700,0.63,FaintYellow
Ruby,3.97,Premium,SI2,56.97,55.47,4.75,3.57,5.37,69.91,4.59,-2.06,0.579,0.167,0.339,700,0.65,Red
Topaz,1.56,Ideal,VVS2,56.29,59.84,6.31,9.16,3.26,79.62,1.66,4.14,0.364,0.521,0.209,450,0.45,White
Topaz,1.08,Premium,SI2,60.25,57.12,5.4,8.34,3.87,67.64,3.28,0.97,0.513,0.384,0.367,600,0.7,LightYellow
Ruby,0.46,Premium,VVS1,64.26,51.55,5.16,9.45,5.94,69.77,4.3,1.28,0.209,0.578,0.26,400,0.55,Red
Topaz,2.95,Fair,SI2,55.56,57.07,5.65,4.17,4.02,72.73,1.86,1.99,0.507,0.234,0.307,700,0.6,Violet
Diamond,3.51,Good,IF,60.08,55.09,3.23,7.01,5.98,73.86,1.08,4.73,0.503,0.392,0.308,400,0.61,Red
Diamond,1.77,Premium,VVS1,56.99,66.99,6.72,3.13,,69.02,1.09,1.15,0.232,0.146,0.499,450,0.51,Violet
Sapphire,3.15,Premium,VS2,62.82,66.77,8.19,4.24,3.19,61.6,1.98,-4.84,0.418,0.207,0.404,650,0.58,LightYellow
Amethyst,0.45,Good,VVS1,61.82,52.83,9.05,8.52,4.19,76.78,3.86,4.66,0.273,0.461,0.268,450,0.59,LightYellow
Amethyst,0.68,Good,VVS2,55.97,64.6,5.27,5.01,2.4,71.04,2.36,-2.73,0.298,0.398,0.508,400,0.61,LightYellow
Emerald,3.57,Ideal,SI2,61.16,59.02,6.85,4.38,4.15,69.36,2.92,4.61,0.49,0.591,0.233,500,0.48,FaintYellow
Amethyst,1.97,Good,SI1,64.84,67.37,9.25,6.8,5.54,76.83,1.23,,0.404,0.275,0.189,600,0.67,Blue
Ruby,3.42,Fair,SI2,60.28,55.48,8.6,7.59,2.31,71.97,4.53,3.59,0.182,0.363,0.152,500,0.46,Green
Amethyst,,Ideal,VS1,57.85,51.76,6.25,7.27,3.05,64.25,2.64,-0.99,,0.6,0.44,650,0.67,LightYellow
Emerald,4.29,Premium,VS2,56.52,66.01,4.15,3.69,3.9,68.47,4.15,,0.259,,0.241,500,0.46,Violet
Topaz,1.03,Fair,IF,64.9,67.37,6.91,,5.41,73.77,1.07,,0.558,0.403,0.305,650,0.47,Red
Amethyst,2.53,Fair,SI2,60.64,66.81,9.93,4.24,5.38,79.71,3.8,2.39,0.231,0.588,0.559,500,0.6,Green
Amethyst,3.72,Ideal,SI1,58.75,56.59,8.3,9.48,5.99,72.25,3.01,3.05,0.558,0.241,0.331,400,0.64,Blue
Amethyst,3.92,Premium,VVS1,57.14,50.62,8.94,6.39,2.65,63.89,2.04,3.49,0.24,0.101,0.215,500,0.56,FaintYellow
Ruby,3.97,Ideal,VS2,64.5,52.79,4.32,3.72,2.7,60.35,3.86,-2.77,0.503,0.22,0.462,500,0.53,Green
Ruby,1.3,Very Good,VVS2,61.27,68.39,9.33,4.04,5.01,66.07,2.96,3.31,0.226,0.343,0.474,650,0.46,Violet
Diamond,1.12,Very Good,SI2,55.58,57.28,3.1,6.02,2.81,68.56,3.4,-0.96,0.59,0.167,0.595,400,0.47,Red
Ruby,3.03,Ideal,IF,55.59,67.6,9.04,9.99,3.86,72.45,3.94,1.07,0.545,0.378,0.158,400,0.54,LightYellow
Diamond,3.76,Premium,VVS1,64.39,69.62,4.67,9.2,4.43,63.89,1.36,-4.38,0.179,0.474,0.24,700,0.41,Blue
Amethyst,1.73,Premium,SI2,62.1,57.91,7.36,9.86,3.16,61.68,3.76,1,0.4,0.176,0.201,600,0.49,LightYellow
Topaz,0.7,Good,SI1,,65.53,5.05,6.18,5.11,64.47,2.71,3.25,0.227,0.294,0.378,700,,Red
Emerald,3.64,Fair,VVS1,61.24,53.38,3.95,7.76,5.86,70.69,4.72,-2.17,0.24,0.331,0.567,550,0.39,White
Ruby,1.64,Ideal,IF,59.19,57.67,4.73,6.63,2.05,62.6,4.51,-0.38,0.485,0.422,0.383,550,0.44,White
Sapphire,1,Fair,SI1,62.89,64.1,6.31,3.21,3.3,63.07,4.01,3.21,0.135,0.428,0.224,650,0.68,Green
Sapphire,0.91,Fair,VS1,57.74,54.14,9.44,3.99,5.2,77.92,3.93,-2,0.426,0.37,0.298,450,0.58,LightYellow
Amethyst,1.71,Very Good,VS1,58.83,56.4,5.72,5,3.24,61.79,4.54,4.19,0.365,0.121,0.487,600,0.38,FaintYellow
Sapphire,3.04,Very Good,VS2,56.67,61.28,3.39,5.19,,73.98,4.18,-3.46,0.503,0.354,0.355,600,0.42,Violet
Sapphire,1.92,Ideal,SI2,57.52,63.82,3.17,7.86,5.4,60.49,4.85,-0.24,0.132,0.116,0.204,700,0.64,FaintYellow
Topaz,,Ideal,VVS1,56.89,57.14,4.47,8.05,3.55,71.74,4.45,1.34,0.26,0.523,0.448,700,0.67,Green
Amethyst,0.67,Premium,VS2,55.24,57.54,3.36,6.15,5.54,76.5,2.32,-0.29,0.198,0.469,0.449,450,0.61,Blue
Amethyst,1.59,Ideal,IF,55.46,52.2,5.6,5.65,5.67,70.69,3.79,-0.87,0.41,0.327,0.58,550,0.64,FaintYellow
Amethyst,3.37,Premium,SI1,63.36,69.68,5.69,4.24,6.46,65.11,4.46,1.37,0.45,0.38,0.527,600,0.66,Green
Emerald,0.67,Premium,VS2,63.04,62.24,9.8,3.29,3.95,60.41,,3.88,0.103,0.301,0.524,400,0.39,Blue
Amethyst,2.89,Ideal,SI2,56.41,60.61,,7.1,4.14,60.2,3.49,1.63,0.393,0.479,0.551,550,0.49,FaintYellow
Ruby,0.78,Premium,VVS1,61.68,54.23,7.19,5.44,5.52,76.42,,1.24,0.294,0.578,0.412,400,0.56,White
Sapphire,1.22,Fair,SI2,62.46,59.76,8.73,6.34,5.91,72.56,1.33,2.45,0.493,0.473,0.339,600,,White
Emerald,1.03,Premium,VS1,55.51,58.95,6.59,9.31,4.27,69.1,2.28,-0.96,0.398,0.324,0.124,400,0.53,Blue
Diamond,0.52,Fair,VS1,55.89,55.17,7.88,7.67,2.1,70.12,3.42,-4.83,0.374,0.164,0.297,450,0.67,Violet
Topaz,3.42,Fair,IF,60.63,58.93,9.82,8.45,,70.61,3.31,4.39,0.468,0.241,0.35,550,0.42,Violet
Emerald,2.42,Fair,VVS2,58.74,54.07,5.27,4.26,3.01,67.17,4,,0.437,0.384,0.572,600,0.59,LightYellow
Ruby,4.19,Good,VS2,61.99,64.2,3.52,3.01,2.44,,4.5,2.68,0.379,0.117,0.372,450,0.45,White
Topaz,0.67,Good,IF,60.58,68.18,6.01,3.95,3.53,79.87,3.25,0.89,0.324,0.412,0.398,450,0.59,White
Amethyst,0.89,Premium,VS1,55.31,50.05,6.78,8.38,3.76,70.23,3.57,1.94,0.461,0.253,0.417,600,0.41,White
Ruby,1.67,Ideal,SI2,61.84,61.13,7.06,6.11,6.42,69.87,2.7,3.18,0.525,0.199,0.561,400,0.44,White
Amethyst,3.88,Premium,VVS1,57.04,64.65,8.17,4.5,4.05,78.53,1.23,-0.07,0.271,0.381,0.297,650,0.55,Red
Diamond,1.67,Good,VVS1,58.13,68.14,9.29,9.73,6.35,73.25,2.31,-4.66,0.567,0.345,0.557,450,0.58,FaintYellow
Diamond,2.16,Very Good,SI1,62.36,57.17,6.5,6.41,5.3,72.77,3.16,4.63,0.531,,,550,0.37,Blue
Ruby,1.65,Very Good,VVS2,,68.14,4,5.58,3.14,61.24,2.97,3.03,0.33,0.244,0.128,700,0.37,Blue
Emerald,0.59,Premium,,58.46,66.51,5.82,9.84,5.16,69.79,3.25,1.42,0.113,0.279,0.302,450,0.67,LightYellow
Sapphire,4.71,Good,VS1,,60.5,4.09,3.94,3.81,72.03,3.5,3.89,0.572,0.218,0.144,450,0.42,FaintYellow
Sapphire,2.83,Fair,VVS2,62.7,55.14,4.28,7.2,4.61,,1.28,4.24,0.33,0.581,0.205,400,0.55,Green
Sapphire,3.98,Good,VVS2,63.7,63.06,3.01,8.24,4.34,74.67,1.05,3.77,0.363,0.466,0.281,700,0.31,Blue
Ruby,,Premium,VVS1,64.64,55.21,9.51,9.59,6.19,79.81,1.91,-3.58,0.499,0.243,0.581,700,0.69,LightYellow
Topaz,2.67,Good,SI1,58.18,56.98,8.22,8.84,2.58,61.57,,2.29,0.208,0.391,0.394,550,0.66,Green
Amethyst,0.63,Very Good,VS2,56.24,59.34,3.7,5.03,4,70.94,2.36,-1.81,0.197,0.229,0.592,550,0.47,Violet
Sapphire,3.29,Fair,SI2,64.38,59.96,9.44,4.82,2.37,62.22,3.33,-4.58,0.479,0.129,0.253,550,0.32,FaintYellow
Emerald,0.95,Premium,VVS1,59,53.78,9.09,,3.15,76.08,3.55,-2.21,0.259,0.263,0.434,550,0.63,Red
Emerald,2.19,Premium,SI1,55.94,63.88,9.37,4.17,2.35,71.5,1.7,1.55,0.411,0.167,0.374,650,0.46,Red
,3.22,Ideal,VVS1,59.99,69.84,3.68,8.11,6.22,65.48,3.35,4.13,0.339,0.475,0.295,450,0.36,White
Emerald,3.95,Fair,VS1,56.91,54.88,3.56,5.02,3.42,68.81,4.98,1.91,0.174,0.569,0.554,550,0.4,Violet
Topaz,3.49,Premium,SI1,58.55,61.09,3.47,6.09,5.52,78.62,4.85,0.82,0.581,,0.335,600,0.42,Red
Amethyst,3.42,Good,SI1,58.2,59.09,9.77,7.83,5.37,75.59,2.41,-1.66,0.284,0.562,0.297,500,0.46,Blue
Emerald,0.92,Good,VS1,64.87,56.16,7.62,7.65,2.63,70.64,1.81,-2.78,0.261,0.492,0.221,500,0.66,White
